ID,trial,generations,num_nodes,interactions_per_node,interaction_partners,memory_cost,initial_memory_poisson,Win_fight,Lose_fight,Hawk_D,Dove_H,DoveDove
45,4,50000,512,64,8,0.1,1,0.5,-1.5,1,0,0.5
46,4,50000,512,256,8,0.1,1,0.5,-1.5,1,0,0.5
47,4,50000,512,1024,8,0.1,1,0.5,-1.5,1,0,0.5
48,4,50000,512,64,8,1,1,0.5,-1.5,1,0,0.5
49,4,50000,512,256,8,1,1,0.5,-1.5,1,0,0.5
50,4,50000,512,1024,8,1,1,0.5,-1.5,1,0,0.5
51,4,50000,512,64,8,5,1,0.5,-1.5,1,0,0.5
52,4,50000,512,256,8,5,1,0.5,-1.5,1,0,0.5
53,4,50000,512,1024,8,5,1,0.5,-1.5,1,0,0.5
54,4,50000,512,64,32,0.1,1,0.5,-1.5,1,0,0.5
55,4,50000,512,256,32,0.1,1,0.5,-1.5,1,0,0.5
56,4,50000,512,1024,32,0.1,1,0.5,-1.5,1,0,0.5
57,4,50000,512,64,32,1,1,0.5,-1.5,1,0,0.5
58,4,50000,512,256,32,1,1,0.5,-1.5,1,0,0.5
59,4,50000,512,1024,32,1,1,0.5,-1.5,1,0,0.5
60,4,50000,512,64,32,5,1,0.5,-1.5,1,0,0.5
61,4,50000,512,256,32,5,1,0.5,-1.5,1,0,0.5
62,4,50000,512,1024,32,5,1,0.5,-1.5,1,0,0.5
63,4,50000,512,64,128,0.1,1,0.5,-1.5,1,0,0.5
64,4,50000,512,256,128,0.1,1,0.5,-1.5,1,0,0.5
65,4,50000,512,1024,128,0.1,1,0.5,-1.5,1,0,0.5
66,4,50000,512,64,128,1,1,0.5,-1.5,1,0,0.5
67,4,50000,512,256,128,1,1,0.5,-1.5,1,0,0.5
68,4,50000,512,1024,128,1,1,0.5,-1.5,1,0,0.5
69,4,50000,512,64,128,5,1,0.5,-1.5,1,0,0.5
70,4,50000,512,256,128,5,1,0.5,-1.5,1,0,0.5
71,4,50000,512,1024,128,5,1,0.5,-1.5,1,0,0.5
72,4,50000,512,64,512,0.1,1,0.5,-1.5,1,0,0.5
73,4,50000,512,256,512,0.1,1,0.5,-1.5,1,0,0.5
74,4,50000,512,1024,512,0.1,1,0.5,-1.5,1,0,0.5
75,4,50000,512,64,512,1,1,0.5,-1.5,1,0,0.5
76,4,50000,512,256,512,1,1,0.5,-1.5,1,0,0.5
77,4,50000,512,1024,512,1,1,0.5,-1.5,1,0,0.5
78,4,50000,512,64,512,5,1,0.5,-1.5,1,0,0.5
79,4,50000,512,256,512,5,1,0.5,-1.5,1,0,0.5
80,4,50000,512,1024,512,5,1,0.5,-1.5,1,0,0.5
